"sensor_id","building","address","gfstandard_id","acronym_n","error","created_at","reference_date"
4,111,Weverstr. 11A,2,e_chp(n)_hm,No values greater than 0.,2025-05-02 18:00:03.565 +0200,2025-03-31 23:59:59.000
440,122,Breitkopfstr. 132,5,e_hc(n)_hm,Data is empty.,2025-05-02 20:11:01.163 +0200,2025-03-31 23:59:59.000
441,126,Lampesteig 11,5,e_hc(n)_hm,Data is empty.,2025-05-02 20:12:01.213 +0200,2025-03-31 23:59:59.000
506,111,Weverstr. 11A,,,No values after removing drops.,2025-05-02 20:23:38.329 +0200,2025-03-31 23:59:59.000
511,122,Breitkopfstr. 132,6,e_hw(n)_hm,Data is empty.,2025-05-02 20:25:39.159 +0200,2025-03-31 23:59:59.000
527,164,Max-Steinke-Str. 19,133,v_g_gm,No values greater than 0.,2025-05-02 20:29:42.320 +0200,2025-03-31 23:59:59.000
661,198,Residenzstr. 147,133,v_g_gm,No complete data. ,2025-05-02 20:55:41.295 +0200,2025-03-31 23:59:59.000
681,214,Forkenzeile 22,4,e_g_hm,Data is empty.,2025-05-02 21:02:54.177 +0200,2025-03-31 23:59:59.000
795,228,Residenzstr. 143,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:18:19.150 +0200,2025-03-31 23:59:59.000
990,129,Grünrockweg 8,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:36:55.936 +0200,2025-03-31 23:59:59.000
1023,203,Breitkopfstr. 134,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:40:10.265 +0200,2025-03-31 23:59:59.000
1065,105,Plonzstr. 2,4,e_g_hm,No values greater than 0.,2025-05-02 21:48:24.158 +0200,2025-03-31 23:59:59.000
1136,246,Paracelsusstr. 36,4,e_g_hm,Data is empty.,2025-05-02 21:58:45.119 +0200,2025-03-31 23:59:59.000
1176,110,Weverstr. 71D,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 22:06:43.156 +0200,2025-03-31 23:59:59.000
1225,210,Grünrockweg 5,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:15:57.801 +0200,2025-03-31 23:59:59.000
1281,240,Murtzaner Ring 8,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:21:09.084 +0200,2025-03-31 23:59:59.000
1292,201,Breitkopfstr. 121,6,e_hw(n)_hm,Data is empty.,2025-05-02 22:23:11.638 +0200,2025-03-31 23:59:59.000
1305,168,Murtzaner Ring 60,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:25:14.740 +0200,2025-03-31 23:59:59.000
1313,296,Breitkopfstr. 140,6,e_hw(n)_hm,Data is empty.,2025-05-02 22:27:17.882 +0200,2025-03-31 23:59:59.000
1505,296,Breitkopfstr. 140,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:58:19.725 +0200,2025-03-31 23:59:59.000
513,129,Grünrockweg 8,6,e_hw(n)_hm,Data is empty.,2025-05-02 20:26:39.209 +0200,2025-03-31 23:59:59.000
550,269,Breitkopfstr. 105,133,v_g_gm,Data is empty.,2025-05-02 20:31:44.682 +0200,2025-03-31 23:59:59.000
668,267,Residenzstr. 149,5,e_hc(n)_hm,Data is empty.,2025-05-02 20:56:41.337 +0200,2025-03-31 23:59:59.000
688,272,Breitkopfstr. 99,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:04:56.692 +0200,2025-03-31 23:59:59.000
729,198,Residenzstr. 147,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:12:07.156 +0200,2025-03-31 23:59:59.000
740,103,Wilhelm-Guddorf-Str. 6,5,e_hc(n)_hm,No values after removing drops.,2025-05-02 21:14:12.954 +0200,2025-03-31 23:59:59.000
844,135,Wilhelm-Guddorf-Str. 14,5,e_hc(n)_hm,No values after removing drops.,2025-05-02 21:20:22.836 +0200,2025-03-31 23:59:59.000
965,271,Residenzstr. 148,6,e_hw(n)_hm,Data is empty.,2025-05-02 21:31:53.097 +0200,2025-03-31 23:59:59.000
981,120,Büchsenweg 9,133,v_g_gm,Data is empty.,2025-05-02 21:34:55.832 +0200,2025-03-31 23:59:59.000
1011,142,Neumarkplan 10A,,,No values greater than 0.,2025-05-02 21:38:10.162 +0200,2025-03-31 23:59:59.000
1056,270,Breitkopfstr. 109,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:45:21.136 +0200,2025-03-31 23:59:59.000
1224,216,Poelchaustr. 28,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:14:57.753 +0200,2025-03-31 23:59:59.000
1456,226,Grünrockweg 7,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:46:59.553 +0200,2025-03-31 23:59:59.000
1477,122,Breitkopfstr. 132,133,v_g_gm,Data is empty.,2025-05-02 22:52:07.932 +0200,2025-03-31 23:59:59.000
1553,101,Lincolnstr. 16,,,No values after removing drops.,2025-05-02 23:03:40.138 +0200,2025-03-31 23:59:59.000
24,114,Armbrustweg 17,5,e_hc(n)_hm,Data is empty.,2025-05-02 18:04:11.612 +0200,2025-03-31 23:59:59.000
472,267,Residenzstr. 149,6,e_hw(n)_hm,Data is empty.,2025-05-02 20:18:10.255 +0200,2025-03-31 23:59:59.000
644,136,Lincolnstr. 60,133,v_g_gm,Data is empty.,2025-05-02 20:51:29.761 +0200,2025-03-31 23:59:59.000
654,202,Klemkestr. 16,6,e_hw(n)_hm,Data is empty.,2025-05-02 20:54:39.958 +0200,2025-03-31 23:59:59.000
670,141,Aalesunder Str. 9,133,v_g_gm,No values greater than 0.,2025-05-02 20:57:46.094 +0200,2025-03-31 23:59:59.000
792,135,Wilhelm-Guddorf-Str. 14,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 21:17:19.088 +0200,2025-03-31 23:59:59.000
903,127,Breitkopfstr. 136,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:24:30.991 +0200,2025-03-31 23:59:59.000
