customer_name,building_id,address,layout_id
Stadtwerke Troisdorf,571,Asselbachstr. 40,gas:1--gas:2--global-separation-circuit:1--heating-circuit:1--heating-circuit:2--heating-circuit:3--heating-circuit:4--heating-circuit:5--heating-circuit:6--heating-circuit:7
Stadtwerke Troisdorf,574,Lütticher Str. 12,gas:1--gas:2--global-separation-circuit:1--heating-circuit:1--heating-circuit:2--heating-circuit:3--heating-circuit:4
Stadtwerke Troisdorf,575,Rathausallee 10,gas:1--gas:2--global-separation-circuit:1--heating-circuit:1--heating-circuit:2--heating-circuit:3
Stadtwerke Troisdorf,738,Lohmarer Str. 33,gas:1--gas:2--chp:1--buffer-tank:1--global-separation-circuit:1--heating-circuit:1--heating-circuit:2--heating-circuit:3
Stadtwerke Troisdorf,739,Zum Altenforst 10,gas:1--gas:2--chp:1--buffer-tank:1--global-separation-circuit:1--heating-circuit:1--heating-circuit:2--heating-circuit:3--heating-circuit:4--heating-circuit:5
LÜBECKER BAUVEREIN,643,Lützowstraße 30-46,
LÜBECKER BAUVEREIN,644,Ratzeburger Allee 76-84,
LÜBECKER BAUVEREIN,645,Tannenbergstr. 6-12,
LÜBECKER BAUVEREIN,646,Andersenring 28,
LÜBECKER BAUVEREIN,647,"Brolingstr. 16, Geverdestr. 58, Ludwigstr. 63/65",
LÜBECKER BAUVEREIN,648,"Binnenland 12-12 c, Elsterw. 8-8 a, A.d.R. 9-9 c, Moristeig 9-9 d",
LÜBECKER BAUVEREIN,649,"Rosenstraße 10, 12-20",
LÜBECKER BAUVEREIN,650,"Langer Lohberg 28-32, 34",
LÜBECKER BAUVEREIN,651,"Brolingstr. 23, Ludwigstr. 69/79, Stitenstr. 23, 25, 22-26, Kerckringstr. 46-46a",
LÜBECKER BAUVEREIN,652,Braunstraße 21,
LÜBECKER BAUVEREIN,653,"Hartengrube 5, 7/9, 11",
LÜBECKER BAUVEREIN,654,Matthäistr. 3-5,
LÜBECKER BAUVEREIN,655,"Wakenitzmauer 166-172, 176, 178, 182",
LÜBECKER BAUVEREIN,656,Braunstraße 23,
LÜBECKER BAUVEREIN,657,Hugo-Distler-Str. 12-12a,gas:1--gas:2--heat-exchanger:1--heating-circuit:1--warm-water:1
LÜBECKER BAUVEREIN,658,"Moislinger Allee 101-105, Auguste-Schmidt-Str. 6-8",
LÜBECKER BAUVEREIN,659,Moislinger Berg 13-17,
LÜBECKER BAUVEREIN,660,Siemser Landstr. 44,
LÜBECKER BAUVEREIN,661,Mühlenkamp 7,
LÜBECKER BAUVEREIN,662,"Ahrensböker Str. 49-49a, Stockelsdorf",
LÜBECKER BAUVEREIN,663,"Marie-Juchacz-Weg 2-6, 8-12, 14-18",
LÜBECKER BAUVEREIN,664,"Marlistr. 7a-9, Bergstr. 14, 16a, 18-18c",
LÜBECKER BAUVEREIN,665,"Marlistr. 7a-9, Bergstr. 14, 16a, 18-18c (Unterstation - Versorgung von Marlistraße 7a/9, Unterstation in Bergstraße 18b)",
LÜBECKER BAUVEREIN,666,Wallbrechtstr. 2-2b,gas:1--heat-exchanger:1--heating-circuit:1--warm-water:1
LÜBECKER BAUVEREIN,667,Marlistraße 5b-7 (Unterstation - Versorgung von Marlistraße 7a/9,
LÜBECKER BAUVEREIN,668,Danzigerstr. 23,gas:1--gas:2--heat-exchanger:1--heating-circuit:1
LÜBECKER BAUVEREIN,669,"Heiligen-Geist-Kamp 1b-1c, Erika-Gerstung-Str. 2-38",gas:1--gas:2--heating-circuit:1--heating-circuit:2--heating-circuit:3--heating-circuit:4--warm-water:1
LÜBECKER BAUVEREIN,670,"Heiligen-Geist-Kamp 1b-1c, Erika-Gerstung-Str. 2-38 (Unterstation - Versorgung von Erika-G.-Str. 2)",district-heating:1--heating-circuit:1--heating-circuit:2--heating-circuit:3--warm-water:1
LÜBECKER BAUVEREIN,671,Luisenstraße 6-10f,
LÜBECKER BAUVEREIN,672,Luisenstraße 4-4d (Unterstation - Versorgung von Luisenstr. 6-10f),
LÜBECKER BAUVEREIN,673,Wallstraße 23-27,
LÜBECKER BAUVEREIN,674,Rabenhorst 8-10,
LÜBECKER BAUVEREIN,675,Falkenstraße 17-25,gas:1--gas:2--gas:3--global-separation-circuit:1--solar-thermal:1--warm-water:1--heating-circuit:1--heating-circuit:2--heating-circuit:3
LÜBECKER BAUVEREIN,676,"Lohstraße 100a-f, Stockelsdorf",
LÜBECKER BAUVEREIN,677,"Ahrensböker Str. 49b-c, Stockelsdorf (Unterstation - Versorgung von Ahrensböker Str. 49)",
LÜBECKER BAUVEREIN,678,Erzstr. 1-3,
LÜBECKER BAUVEREIN,679,Silberstr. 9-11,
LÜBECKER BAUVEREIN,680,Güldene Str. 14-16,
LÜBECKER BAUVEREIN,681,"Dummersdorfer Str. 10, 12",
LÜBECKER BAUVEREIN,682,Dummersdorfer Str. 10a (Unterstation - Versorgung von Dummersdorfer Str. 12),
LÜBECKER BAUVEREIN,683,Gerstenfeld 1-11 (Unterstation - Versorgung von Gerstenfeld 14),
LÜBECKER BAUVEREIN,684,Gerstenfeld 2-12 (Untersation - Versorgung von Gerstenfeld 14),
LÜBECKER BAUVEREIN,685,"Rehsprung 21-23, Gerstenfeld 13-20",
LÜBECKER BAUVEREIN,686,"Holmer Straße 1-13, Rehna",
LÜBECKER BAUVEREIN,687,"Bahnhofstraße 2-4, Dassow",
LÜBECKER BAUVEREIN,688,"Bahnhofstraße 2-4, Dassow (Unterstation - Versorgung von Bahnhofstraße 2)",
LÜBECKER BAUVEREIN,689,"Holmer Straße 15-31, Rehna",
LÜBECKER BAUVEREIN,690,"Lindenstr. 29-35, Schönberg",
LÜBECKER BAUVEREIN,691,"Dr. Leber-Str. 12, 13, 14-17, Selmsdorf",
LÜBECKER BAUVEREIN,692,"Ernst-Thälmann-Str. 13, Rehna (Unterstation - Versorgung von E.-Thälmann-Str. 15a)",
LÜBECKER BAUVEREIN,693,"Ernst-Thälmann-Str. 15a, 15b, Rehna",
LÜBECKER BAUVEREIN,694,"Ernst-Thälmann-Str. 17-17c, Rehna",
LÜBECKER BAUVEREIN,695,"10:21:47 Ernst-Thälmann-Str. 19a, 19b, 19c, Rehna (Unterstation - Versorgung von E.-Thälmann-Str. 17c)",
LÜBECKER BAUVEREIN,696,"Ernst-Thälmann-Str. 2, 2a, 2b, Rehna",
LÜBECKER BAUVEREIN,1508,"Brolingstr. 23, Ludwigstr. 69/79, Stitenstr. 23, 25, 22-26, Kerckringstr. 46-46a (Unterstation - Versorgung von Stitenstraße 23)",
LÜBECKER BAUVEREIN,1847,"Marie-Juchacz-Weg 8, versorgt Marie-Juchacz-Weg 8-12",
LÜBECKER BAUVEREIN,1848,"Marie-Juchacz-Weg 14, versorgt Marie-Juchacz-Weg 14-18",
LÜBECKER BAUVEREIN,2225,"Luisenstraße 6-10f, (Unterstation Luisenstraße 10) ",
BEA,304,Buchholzer Strasse 4,gas:1--global-separation-circuit:1--heating-circuit:1--warm-water:1
